OFFENDER_ID,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,BIRTH_DATE,SEX_CODE,NOMS_ID,ETHNICITY_CODE,ETHNICITY,CRO_NUMBER,PNC_NUMBER,WORKING_NAME,NATIONALITY,SECOND_NATIONALITY,SEXUAL_ORIENTATION,ROOT_OFFENDER_ID
1010621,,EDU10,,BO-OFFENDER,,17/04/77,M,A8566AA,M3,Mixed: White and Asian,,,Y,IRISH,,,1010621
1010622,,EDU11,,BO-OFFENDER,,17/03/72,M,A8567AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1010622
1010623,,EDU12,,BO-OFFENDER,,12/05/71,M,A8568AA,M3,Mixed: White and Asian,,,Y,IRISH,,,1010623
1010624,,EDU13,,BO-OFFENDER,,11/08/75,M,A8569AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1010624
1010625,,EDU14,,BO-OFFENDER,,16/05/74,M,A8570AA,M3,Mixed: White and Asian,,,Y,IRISH,,,1010625
1010627,,EDU16,,BO-OFFENDER,,05/01/75,M,A8572AA,M3,Mixed: White and Asian,,,Y,IRISH,,,1010627
1010647,,EDUTEST,,BO-OFFENDER,,05/06/71,M,A8592AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1010647
1010648,,PETER,,SELLARS,,21/05/56,M,A8593AA,,,,,Y,IRISH,,,1010648
1010649,,PETER,,SELLARS,,21/05/56,M,A8594AA,,,,,Y,IRISH,,,1010649
1010667,MR,SID,,HOOPER,,14/05/64,M,A8612AA,W9,White: Any other background,,,Y,,,,1010667
1010668,MR,SIDNEY,,HOOPER,,30/01/75,M,A8613AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1010668
1010669,MR,BRIAN,,WALKER,,27/08/82,M,A8614AA,W9,White: Any other background,,,Y,,,,1010669
1010670,,NOATTEND1,,BO-OFFENDER,,13/06/71,M,A8615AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1010670
1010671,MR,JIM,,MAITLAND,,13/04/84,M,A8616AA,M1,Mixed: White and Black Caribbean,,,Y,CONGOLESE,,,1010671
1010687,,NOATTEND2,,BO-OFFENDER,,12/11/70,M,A8632AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1010687
1010688,,NOATTEND3,,BO-OFFENDER,,02/01/70,M,A8633AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1010688
1010689,,NOATTEND4,,BO-OFFENDER,,22/06/70,M,A8634AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1010689
1010690,MR,DAVID,,WALKER,,18/03/80,M,A8635AA,B1,Black/Black British: Caribbean,,,Y,,,,1010690
1010691,,DARREN,,WALKER,,18/03/80,M,A8635AA,B1,Black/Black British: Caribbean,,,,,,,1010690
1010692,MISS,FAY,,WALTERS,,22/06/88,F,A8636AA,NS,Prefer not to say,,,Y,IRISH,,,1010692
1010695,,CAR WILLY,,BO X,,01/05/82,M,A8639AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1010695
1010707,,ACT0002_1_OLD,,BO-OFFENDER,,01/01/70,M,A8652AA,W2,White : Irish,,,Y,,,,1010707
1010708,,ACT0002_1,,BO-OFFENDER,,01/02/70,M,A8653AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1010708
1010709,,ONEMAN,,BO-OFFENDER,,01/01/78,M,A8654AA,,,,,Y,IRISH,,,1010709
1010727,,ONEOM,,BO-OFFENDER,,01/01/76,M,A8672AA,W2,White : Irish,,,Y,IRISH,,,1010727
1010768,,TIER03,,BO-OFFENDER,,01/01/78,M,A8713AA,W2,White : Irish,,,Y,IRISH,,,1010768
1010787,MISS,JONES,,GERALDINE,,12/05/70,F,A8732AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,,,,,1010787
1010788,,JONES,,JERRY,,12/05/72,F,A8732AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,,,,,1010787
1010789,MISS,GERALDINE,,JONES,,12/05/70,F,A8733AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,07/551E,Y,IRISH,,,1010789
1010790,,JERRY,,JONES,,12/05/72,F,A8733AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,07/551E,,,,,1010789
1010807,MR,GILLIAN,,PETERSON,,11/01/69,F,A8752AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,,,,,1010807
1014572,,CALCEX10,,CALCEX10,,01/01/75,M,A2247AA,,,,,Y,,,,1014572
1014573,,CALCEX10_1,,CALCEX10_1,,01/01/75,M,A2248AA,,,,,Y,,,,1014573
1014574,,CALCEX14_1,,CALCEX14_1,,01/01/75,M,A2249AA,,,,,Y,,,,1014574
1014575,MR,CALCEX14X,,CALCEX14X,SR,12/12/65,M,A2250AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1014575
1014576,,CALCEX14_2,,CALCEX14_2,,01/01/75,M,A2251AA,,,,,Y,,,,1014576
1014577,,DAVE,,GEOFRIES,,26/06/72,M,A2252AA,,,,,Y,,,,1014577
1014578,,CALCEX13,,CALCEX13,,01/01/75,M,A2253AA,,,,,Y,,,,1014578
1015495,MR,JACKO,,RABBIT,,13/01/80,M,A1925AA,,,,,,,,,1014222
1014580,,CALCEX16,,CALCEX16,,01/01/75,M,A2255AA,,,,,Y,,,,1014580
1014581,MR,CALSEX31X,,CALSEX31X,SR,14/10/67,M,A2256AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,,,,,1014581
1014582,,CALCEX31,,CALCEX31,,14/12/67,M,A2257AA,,,,,Y,,,,1014582
1014583,,CALCEX19,,CALCEX19,,01/01/75,M,A2258AA,,,,,Y,,,,1014583
1014584,MISS,CALCEX36,,CALCEX36,JR,10/06/85,F,A2259AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1014584
1014585,,CALCEX20,,CALCEX20,,01/01/75,M,A2260AA,,,,,Y,,,,1014585
1015493,,QTP200308142141,,QTP200308142141,,01/01/75,M,A3095AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1015493
1014587,,CALCEX24,,CALCEX24,,01/01/75,M,A2262AA,,,,,Y,,,,1014587
1014588,MRS,CALSEX50,,CALCEX50,SR,24/12/71,F,A2263AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1014588
1014589,,CALCEX26,,CALCEX26,,01/01/75,M,A2264AA,,,,,Y,,,,1014589
1014590,,CALCEX27,,CALCEX27,,01/01/75,M,A2265AA,,,,,Y,,,,1014590
1029487,,GNAME1,,01_DTO_1991_SINGLE_TERM_EIGHT_MONTH,,05/03/91,M,A0174AC,,,,,,,,,1021464
1014592,MR,CALCEX50_1,,CALCEX50_1,JR,31/08/67,M,A2267AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1014592
1014594,,BRER,WHITE,FOX,,15/06/78,M,A2269AA,,,,,Y,,,,1014594
1015501,MR,CLAY,,OFFENDER4F05,,01/01/79,M,A3101AA,,,,,Y,,,,1015501
1014596,MR,NIGEL,,TASKER,,01/05/75,M,A2271AA,,,,,Y,IRISH,,,1014596
1014597,,FRED,,BRANSON,,15/06/50,M,A1851AA,,,,,Y,,,,1014144
1014598,MR,PETER,,OSTRICH,,06/10/70,M,A2272AA,,,,,,,,,1014598
1014599,MR,ALF,,FEATHER,,06/10/73,M,A2272AA,,,,,,,,,1014598
1014600,,PORTO,,PORTUAL,,11/04/81,M,A6543AA,,,,,,,,,1008478
1014601,,PORTO,,PORTUGAL,,11/04/81,M,A6543AA,,,,,Y,BRITISH,,REFUSED,1008478
1014602,,TESTT1,,TESTT1,,01/01/75,M,A2273AA,,,,,Y,,,,1014602
1014603,,CALCEX38,SHARP TEETH,CALCEX41,,23/12/50,M,A1910AA,,,,,,,,,1014203
1012832,,BARRY,,QUAINTON,,17/06/52,M,A0562AA,,,,,Y,,,,1012832
1012847,,LEE,,ADAMS,,10/12/80,M,A0581AA,,,,,Y,,,,1012847
1012848,,RUSTY,,BO-LT,,20/06/81,M,A0582AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1012848
1057727,,JAMES,,PETER,,12/02/79,M,A3267AG,,,,,Y,,,,1057727
1057747,MR,ONE,,SMBTEST,,01/05/77,M,A3268AG,,,,,Y,,,,1057747
1057748,MR,TWO,,SMBTEST,,01/05/78,M,A3269AG,,,,,Y,,,,1057748
1057767,MR,TOM,,GUBBINS,,01/05/77,M,A3271AG,,,,,Y,,,,1057767
1012947,,TESTONE,,DPPLICENCE,,01/01/45,M,A0681AA,,,,,Y,IRISH,,,1012947
1012967,,TEST,,BO-SEN5034,,01/01/56,M,A0701AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1012967
1012968,,BRENDA,,BARBER,,16/06/71,F,A0702AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,REFUSED,,,1012968
1012969,,MARY,,WALKER,,12/03/81,F,A0703AA,M1,Mixed: White and Black Caribbean,,,Y,BRITISH,,,1012969
1012970,,GILLIAN,,MARTIN,,13/03/84,F,A0704AA,W9,White: Any other background,,,Y,BRITISH,,,1012970
1012971,,ANDREA,,BLATT,,18/02/88,F,A0705AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1012971
1012972,,TEST2,,BO-SEN5034,,01/01/56,M,A0706AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1012972
1013008,MR,JUAN,PABLO,BO-ANGEL,,15/03/78,M,A0741AA,O9,Other: Any other background,,,Y,IRISH,,,1013008
1013027,,JAMES,,HIGHBURY,,10/07/78,M,A0761AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1013027
1013028,,JOHN,,ISLINGTON,,11/12/80,M,A0762AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1013028
1013051,,LASER-GUIDED,,BO-MB,,13/07/73,M,A0785AA,M1,Mixed: White and Black Caribbean,,,Y,IRISH,,,1013051
1013052,,LASER-GUIDED,,BO-MB,,05/04/74,M,A0786AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1013052
1013053,,CHEMICAL,,BO-MB,,12/04/58,M,A0787AA,W2,White : Irish,,,Y,IRISH,,,1013053
1013054,,UNDETONATED,,BO-MB,,12/04/67,M,A0788AA,M1,Mixed: White and Black Caribbean,,,Y,IRISH,,,1013054
1013067,,ALT,,COMMUNITYORDER,,15/10/85,M,A0801AA,,,,,Y,,,,1013067
1013068,,ALT,,CUSTODY,,15/10/85,F,A0802AA,,,,,Y,,,,1013068
1013087,,ALT,,COMMUNITY-ORDER,,10/08/85,F,A0821AA,,,,,Y,,,,1013087
1013107,,SOAP,,BO-MB,,11/05/68,M,A0841AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1013107
1013127,,INMATE,,BO-MULTI,,01/02/72,M,A0861AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1013127
1013147,,HEADERTEST,,BREACH,,01/01/50,M,A0881AA,W2,White : Irish,,,Y,,,,1013147
1013207,,WAYNE,,BO-REHOLE,,05/06/86,M,A0921AA,W9,White: Any other background,,,Y,,,,1013207
1013208,,HARRY,,MARVIN,,16/06/85,M,A0922AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,07/225531,Y,IRISH,,,1013208
1013233,,LICENCE,,DPP,,01/01/45,F,A0947AA,,,,,Y,IRISH,,,1013233
1057807,,17779,,NIGEL,,01/01/70,M,A3273AG,,,,,Y,,,,1057807
1013272,MR,OUTALLNITE,,BO-ROR,,30/07/64,M,A0986AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1013272
1014268,,MIKE,,EXERCISE1,,16/05/71,M,A1965AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1014268
1014269,,JAKE,,EXERCISE2,,16/02/65,M,A1966AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1014269
1014270,MR,CALC1,,CALC1,,15/06/68,M,A1967AA,,,,,Y,,,,1014270
1014277,,CALC2B,,CALC2B,,02/03/74,M,A1974AA,,,,,,,,,1014277
1014279,,CALC3B,,CALC3B,,16/02/63,M,A1976AA,,,,,Y,,,,1014279
1014280,,CALC3C,,CALC3C,,10/10/62,M,A1977AA,,,,,,,,,1014280
1014287,,CALCEX04,,CALCEX04,,26/05/85,M,A1979AA,,,,,Y,,,,1014282
1014294,,CALC5,,CALC5,,02/06/67,M,A1981AA,,,,,,,,,1014294
1014295,,CALCEX05,,CALCEX05,,02/06/67,M,A1981AA,,,,,Y,,,,1014294
1014296,,CALC6A,,CALC6A,,18/05/67,M,A1982AA,,,,,,,,,1014296
1014298,,CALC7A,,CALC7A,,10/04/86,M,A1983AA,,,,,,,,,1014298
1014300,,CALCEX07,,CALCEX07,,10/04/86,M,A1983AA,,,,,Y,,,,1014298
1014301,,CALC9,,CALC9,,06/06/74,M,A1985AA,,,,,,,,,1014301
1014305,,CALC10,,CALC10,,15/02/74,M,A1988AA,,,,,Y,,,,1014305
1014306,MR,DAVE,,CALCEX18,,01/04/79,M,A1989AA,,,,,Y,,,,1014306
1014313,,CALC12,,CALC12,,28/05/65,M,A1995AA,,,,,,,,,1014313
1014315,,CALC13,,CALC13,,06/09/82,M,A1996AA,,,,,,,,,1014315
1014317,,CALC14,,CALC14,,15/02/60,M,A1997AA,,,,,,,,,1014317
1014333,,CALC14,,CALC14,,15/06/84,M,A2015AA,,,,,,,,,1014333
1014334,,CALC15,,CALC15,,15/02/80,M,A2016AA,,,,,,,,,1014334
1014335,MR,GLEN,,CALCEX16,,12/07/81,M,A2017AA,,,,1986/0308252P,Y,,,,1014335
1014336,,CALCEX15,,CALCEX15,,15/02/80,M,A2016AA,,,,,Y,,,,1014334
1014337,,CALCEX14,,CALCEX14,,15/02/60,M,A1997AA,,,,,Y,,,,1014317
1014353,MR,DONNY,,CALCEX24,,01/07/79,M,A2035AA,,,,,Y,,,,1014353
1014378,,CALCEX48,,CALCEX48,,17/03/63,M,A2059AA,,,,,Y,,,,1014378
1014382,,CALCEX53,,CALCEX53,,15/09/74,M,A2063AA,,,,,Y,,,,1014382
1014383,,CALCEX54,,CALCEX54,,15/10/58,M,A2064AA,,,,,Y,,,,1014383
1014384,,CALCEX55,,CALCEX55,,19/08/42,M,A2065AA,,,,,Y,,,,1014384
1014385,,CALCEX56,,CALCEX56,,15/02/70,M,A2066AA,,,,,Y,,,,1014385
1014386,,CALCEX57,,CALCEX57,,01/01/66,M,A2067AA,,,,,Y,,,,1014386
1014392,,BART,,SIMPSON,,01/01/80,M,A2072AA,,,,,Y,IRISH,,,1014392
1014415,,TEST02,,TEST02,,01/01/70,M,A2095AA,,,,,Y,,,,1014415
1014436,,JAMES,,BOND,,28/12/75,M,A2116AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1014436
1014456,,AUTHOR,,AUTHOR,,28/12/75,M,A2136AA,,,,,,,,,1014456
1014458,MR,DEREK,,BALL,,01/03/80,M,A2138AA,,,,,,,,,1014458
1010828,,ACT0002_3,,BO-OFFENDER,,03/05/80,F,A8773AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1010828
1010829,,ACT0002_4,,BO-OFFENDER,,05/05/60,M,A8774AA,M3,Mixed: White and Asian,,,Y,IRISH,,,1010829
1010830,,ACT0002_5,,BO-OFFENDER,,04/04/80,F,A8775AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1010830
1010831,,ACT0002_6,,BO-OFFENDER,,03/07/85,M,A8776AA,M3,Mixed: White and Asian,,,Y,,,,1010831
1010834,,GORDON,,BENNETT,,10/10/70,M,A8779AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1010834
1010835,,ACT0002_8,,BO-OFFENDER,,01/04/89,M,A8780AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1010835
1010836,,FRAN,,ROLINSON,,18/02/70,F,A8781AA,,,,,Y,IRISH,,,1010836
1010837,MR,GARY,,NEWTON,,26/05/75,M,A8782AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,04/550H,Y,IRISH,,,1010837
1010838,,IAN,,NEWTON,,23/04/70,M,A8782AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,04/550H,,,,,1010837
1010839,MR,FOREST,,GATE,,10/10/68,M,A8783AA,B1,Black/Black British: Caribbean,,,Y,IRISH,,,1010839
1010887,,TERMINATION,,LICENCE,,28/02/79,F,A8832AA,,,,,Y,IRISH,,,1010887
1010987,,AXL,WILLIAM,ROSE,,13/12/73,M,A8912AA,W9,White: Any other background,,,Y,,,,1010987
1011007,,REGINA-TEST,,BO-OFFENDER,,14/03/69,M,A8932AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1011007
1011008,,ACT0002_1,,BO-GYM,,01/01/70,M,A8933AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1011008
1011009,,ACT0002_2,,BO-GYM,,02/02/75,M,A8934AA,M3,Mixed: White and Asian,,,Y,IRISH,,,1011009
1011010,,ACT0002_3,,BO-GYM,,03/03/80,M,A8935AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1011010
1011011,,ACT0002_4,,BO-GYM,,04/04/85,F,A8936AA,M3,Mixed: White and Asian,,,Y,IRISH,,,1011011
1011012,,ACT0002_5,,BO-GYM,,05/05/75,M,A8937AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1011012
1011067,,STIFF,,BO-ARD,,01/01/28,M,A8992AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1011067
1011087,MR,BED,,FORD,,01/01/63,M,A9012AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1011087
1011107,,TEST,,TD5315,,13/05/75,M,A9032AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1011107
1011147,,OWTAMYEAD,,BO-ARD,,01/01/45,M,A9072AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1011147
1011167,,TEST1,,5362 DEFECT,,14/04/80,M,123123123,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1011167
1011207,,OGRS9,,BO-OFFENDER,,14/05/68,M,A9132AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,IRISH,,,1011207
1011208,,OGRS10,,BO-OFFENDR,,14/04/68,M,A9133AA,W2,White : Irish,,,Y,IRISH,,,1011208
1011227,,JOE,,SNOOPY,,11/11/71,M,A9152AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,,,,,1011227
1011293,,TEST,,SENTENCE 7,,01/01/80,M,A9218AA,,,,,Y,IRISH,,,1011293
1011307,,BETS,,LYNCH,,12/04/80,F,A6647AA,,,,,,,,,1008565
1011427,,JASON,,PULLIT,,12/05/58,M,A9332AA,,,,,Y,,,,1011427
1011627,,ADAM,,BENNETT,,01/06/85,M,A4813AA,,,,,,,,,1006728
1011647,,CYRIL,,CIRENCESTER,,04/04/80,M,A9512AA,W9,White: Any other background,,,Y,IRISH,,,1011647
1011687,,BROWN,,BOSTON,,06/12/80,M,A9532AA,,,,,Y,,,,1011687
1011927,,JIMMY,,JOHNSON,,12/12/80,M,A9752AA,W9,White: Any other background,,,Y,,,,1011927
1011947,,WALLY,,WOLVERHAMPTON,,04/04/75,M,A9772AA,M1,Mixed: White and Black Caribbean,,,Y,IRISH,,,1011947
1011948,,PREDIC,,RISK,,04/05/83,F,A9773AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1011948
1014606,,FOUR,,KIRK,,15/12/76,M,A4832AA,,,,,Y,,,,1006747
1014607,,CALCEX38,,CALCEX41,,23/12/50,M,A1910AA,,,,,,,,,1014203
1014608,,RICHARD,,DATA-NASH,,01/03/56,M,A6980AA,,,,,,,,,1008895
1014638,,QTP1,,QTP1,,01/01/75,M,A2286AA,,,,,,,,,1014638
1014610,,BILL,,WRIGHT,,08/07/71,M,A2138AA,,,,,Y,CHINESE,,BISEXUAL,1014458
1014611,,MICHAEL,,WALSH,,05/08/77,M,A0982AA,,,,,Y,,,,1013268
1014612,,ALBERT,,DENTON,,01/03/79,M,A2235AA,,,,,Y,,,,1014555
1014613,,ADAM,PAUL,JACKSON,,07/11/79,M,A2274AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,BRITISH,,BISEXUAL,1014613
1014614,,PETER,THOMAS,JACKEL,,07/11/79,M,A2274AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,,,,,1014613
1014639,,QTP2,,QTP2,,01/01/75,M,A2287AA,,,,,,,,,1014639
1014616,,ONEOMOGRS3,,BO-OFFENDER,,01/01/78,M,A1320AA,,,,,,,,,1013614
1014617,,RUPERT,,DBGTEST,,12/12/82,M,A1855AA,,,,1989/0054567Q,Y,,,,1014148
1014618,,GREEN,,TOAD,,10/06/80,M,A2275AA,,,,,Y,,,,1014618
1014619,,DAVE,,DONOVAN,,26/06/82,M,A4852AA,,,,33/993399H,,,,,1006767
1014620,,DAVE,,DONAVAN,,26/06/82,M,A4852AA,,,,33/993399H,Y,,,,1006767
1014621,,WILBUR,,WRIGHT,,14/06/62,M,A1949AA,,,1234567890,,Y,,,,1014251
1014622,,TWO TAIL,,NEWT,,01/01/76,M,A2276AA,,,,,Y,,,,1014622
1014623,,ROBERT,,JAMES,,15/02/63,M,A2277AA,,,,,Y,,,,1014623
1014624,,RAYMOND,JAMES,PORKINTEIN,,08/11/62,M,A2278AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,04/6R,Y,,,,1014624
1014625,,ALAN,,PARKER,,01/01/60,M,A2279AA,,,,,Y,,,,1014625
1014626,,BILL,,PARKER,,01/01/70,M,A2280AA,,,,,Y,,,,1014626
1014627,,STEST,,STEST,,01/01/70,M,A2281AA,,,,,Y,,,,1014627
1014628,,BRER,RED TAIL,FOX,,14/02/70,M,A2282AA,,,,,Y,,,,1014628
1014629,,BRER,JUMPING POTATOES,FOX,,16/04/76,M,A2283AA,,,,,Y,,,,1014629
1014630,MR,STEVE,,BOWLEY,,04/09/61,M,A2284AA,,,,,Y,,,,1014630
1014631,MR,LONGNAMEAAAAAAAAAAAAAAAAAAAAAAAAAAA,LONGNAMEAAAAAAAAAAAAAAAAAAAAAAAAAAA,LONGNAMEAAAAAAAAAAAAAAAAAAAAAAAAAAA,,01/01/79,M,A2285AA,,,,,Y,,,,1014631
1014632,,KEVIN,,A LONGONEAAAAAAAAAAAAAAAAAAAAAAAAAA,,15/06/55,M,A1857AA,,,,,,,,,1014150
1014633,,DARYL,,AVON,,26/12/76,M,A1932AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,,,,,1014229
1014637,,RECEP2,,BO-VIEWPOP,,01/01/67,F,A9592AA,,,,,,,,,1011767
1014640,,QTP3,,QTP3,,01/01/75,M,A2288AA,,,,,,,,,1014640
1014641,,QTP4,,QTP4,,01/01/75,M,A2289AA,,,,,,,,,1014641
1014642,,QA4,,QA4,,01/01/75,M,A2290AA,,,,,,,,,1014642
1014643,,QA5,,QA5,,01/01/75,M,A2291AA,,,,,,,,,1014643
1010494,MR,SIMON,,YEO,,14/01/74,M,A8439AA,,,,,,,,,1010494
1010495,,CHANGERELIG,,OFFENDER,,04/06/69,M,A8440AA,,,,,Y,,,,1010495
