NOMS_NUMBER,DATE_OF_BIRTH,GIVEN_NAME_1,GIVEN_NAME_2,GIVEN_NAME_3,SURNAME,SALUTATION,GENDER_CODE,PNC_ID,NATIONALITY_CODE,CRIMINAL_RECORDS_OFFICE_NUMBER,ESTABLISHMENT_CODE,NOMIS_OFFENDER_ID,ETHNICITY_CODE,WORKING_NAME
A1447AE,1948/10/04 00:00:00,TANEK,,,CURTIS,,M,,,,LEI,1055717,W2,Y
A1448AE,1966/05/31 00:00:00,NISSIM,,,LAMBERT,,M,,,,LEI,1055718,W1,Y
A1449AE,1992/12/11 00:00:00,MANNIX,,,MARSH,,M,,,,ISI,1055719,W1,Y
A1450AE,1986/12/30 00:00:00,NICHOLAS,,,FINNEY,,M,,,,LEI,1055720,W1,Y
A1451AE,1981/06/23 00:00:00,CIARAN,,,MCINTOSH,,M,,,,LEI,1055721,W2,Y
A1457AE,1967/07/12 00:00:00,EDDIE,,,MARS,,M,,,,LEI,1055807,W1,Y
A1458AE,1955/05/13 00:00:00,VITO,,,CORLEONE,,M,,,,BMI,1055808,B1,Y
A1459AE,1976/06/12 00:00:00,JAMES,,,LATITUDE,,M,ABCD123456789012345,,DDSADES9372,LEI,1056828,W1,Y
A1459AE,1976/06/12 00:00:00,JIM,,,LATTITUDE,,M,,,,LEI,1055827,W1,N
A1459AE,1976/06/12 00:00:00,JAMES,,,LATTITUDE,,M,,,,LEI,1055867,W1,N
A1459AE,1982/06/12 00:00:00,JIMBO,,,LATTITUDE,,M,,,,LEI,1055868,W1,N
A1460AE,1985/05/01 00:00:00,FRED,,,LATTITUDE,,M,,,,BMI,1055828,W1,Y
A1464AE,1981/10/10 00:00:00,KUMAR,,,DHUMKE,,M,,BRIT,,OUT,1056847,A1,Y
A1464AE,1980/10/10 00:00:00,KUMAR,,,DHUMKE,,M,,BRIT,,OUT,1056907,W1,N
A1465AE,1992/02/01 00:00:00,DI LANDA,,,CESIDIO,,M,,,,LEI,1056867,W1,Y
A1465AE,1982/03/02 00:00:00,DEL,,,CESI,,M,,,,LEI,1056868,W1,N
A1466AE,1970/10/10 00:00:00,JAGS,,,PARBHA,,M,,,,LEI,1056887,W1,Y
A1523AE,1980/10/10 00:00:00,SUNIL,,,GHADI,,M,,,123456,LEI,1057127,W3,Y
A1523AE,1989/11/09 00:00:00,SUNNY,,,GHADI,,M,,,5555555,LEI,1058207,W1,N
A1541AE,1980/10/10 00:00:00,MOEEN,,,ALI,,M,,,,LEI,1057310,W1,Y
A1541AE,1982/10/10 00:00:00,MO,,,ALI,,M,,,CRO232WRW,LEI,1057311,W3,N
A1541AE,1983/10/10 00:00:00,M,,,ALI,,M,,,COR49WDD,LEI,1057328,W1,N
A1563AE,1970/10/10 00:00:00,HALL,,,JILL,,M,,,CRO3456,LEI,1057487,B1,Y
A1563AE,1970/10/10 00:00:00,HALL,,,JILLY,,M,,,CRO1234,LEI,1057467,W1,N
A1563AE,1970/10/10 00:00:00,HALL,,,JIL,,M,,,CRO12345,LEI,1057488,W1,N
A1570AE,1980/10/10 00:00:00,GERRY,,,GRANT,,M,,,,LEI,1057588,A1,Y
A1606AE,1980/10/10 00:00:00,JOHN,,,GRANT,,M,,,,LEI,1057910,W1,Y
A1606AE,1980/10/10 00:00:00,JO,,,GRANT,,M,,,,LEI,1057912,W1,N
A1606AE,1980/10/10 00:00:00,JOHNY,,,GRANT,,M,,,,LEI,1057911,B1,N
A1606AE,1980/10/10 00:00:00,JON,,,GRANT,,M,,,,LEI,1057914,W1,N
A1661AE,1980/10/10 00:00:00,PAUL,,,GRANT,,M,,BRIT,,LEI,1058467,W3,Y
A1662AE,1980/10/10 00:00:00,IGOR,,,MOORE,,M,,ICE,,LEI,1058487,W1,Y
A1664AE,1980/10/10 00:00:00,LIAM,,,FOX,,M,,CAMB,,LEI,1058527,W1,Y
A1665AE,1980/10/10 00:00:00,BOMAN,,,GRANT,,M,,,,LEI,1058547,W2,Y
A1668AE,1980/10/10 00:00:00,GERRY,,,GRANT,,M,,,,LEI,1058569,W1,Y
A1669AE,1980/10/10 00:00:00,JO,,,GRANT,,M,,,,LEI,1058587,W1,Y
A1670AE,1980/10/10 00:00:00,JAYANT,,,YADAV,,M,,,,BMI,1058607,W1,Y
A1673AE,1980/10/10 00:00:00,RAVI,,,JADEJA,,M,,,,LEI,1058629,W2,Y
A1674AE,1980/10/10 00:00:00,AMIT,,,MISHRA,,M,,,,LEI,1058647,W1,Y
A1675AE,1980/10/10 00:00:00,UMESH,,,YADAV,,M,,,,OUT,1058667,W2,Y
A1676AE,1980/10/10 00:00:00,VIR,,,SAHA,,M,,,,BMI,1058687,W1,Y
A1677AE,1980/10/10 00:00:00,BOMAN,,,IRANI,,M,,,,LEI,1058707,W1,Y
A1678AE,1980/10/10 00:00:00,ED,,,BALLS,,M,,,,OUT,1058708,A1,Y
A1679AE,1990/01/01 00:00:00,TEST2,,,ROOT,,NK,,,,LEI,1058710,W1,Y
A1679AE,1980/01/01 00:00:00,TEST1,,,ROOT,,M,,,,LEI,1058709,B1,N
A1679AE,1990/01/01 00:00:00,TEST3,,,ROOT,,M,,,,LEI,1058711,W1,N
A1679AE,1979/01/01 00:00:00,TEST4,,,ROOT,,M,,,,LEI,1058712,B1,N
A1680AE,1980/10/10 00:00:00,NARENDRA,,,PATEL,,M,,BRIT,,OUT,1058727,W1,Y
A1681AE,1980/10/10 00:00:00,RAHUL,,,GANDHI,,M,,BRIT,,BMI,1058728,A1,Y
A1682AE,1980/10/10 00:00:00,GAUTAM,,,GAMBHIR,,M,,IRISH,,OUT,1058729,W1,Y
A1682AE,1980/10/10 00:00:00,GAUTI,,,GAMBHIR,,M,,IRISH,CRO1234,OUT,1058730,W1,N
A1683AE,1980/10/10 00:00:00,RAFA,,,NADAL,,M,,BRIT,CRO0214232,BMI,1058747,A1,Y
A1683AE,1980/10/10 00:00:00,RAFAEL,,,NADAL,MR,M,,BRIT,,BMI,1058748,W1,N
A1694AE,1980/10/10 00:00:00,STEPHEN,,,EDBERG,,M,,,,LEI,1058887,W1,Y
A1697AE,1980/10/10 00:00:00,JO,A,B,BALLS,MR,M,,BRIT,,LEI,1058928,B1,Y
A1718AE,1980/10/10 00:00:00,ALEX,B,D,COOK,,M,,,,LEI,1059176,W1,Y
A1736AE,1980/10/10 00:00:00,JAMES,,,WATTS,,M,,,,LEI,1059347,W1,Y
A1755AE,1980/10/10 00:00:00,IMRAN,,,KHAN,,M,,IRISH,CRO34679,LEI,1059547,B1,Y
A1755AE,1980/10/10 00:00:00,IMRU,,,KHAN,,M,,IRISH,CRO54556,LEI,1059548,A1,N
