NOMS_NUMBER,DATE_OF_BIRTH,GIVEN_NAME_1,GIVEN_NAME_2,GIVEN_NAME_3,SURNAME,SALUTATION,GENDER_CODE,PNC_ID,NATIONALITY_CODE,CRIMINAL_RECORDS_OFFICE_NUMBER,ESTABLISHMENT_CODE,NOMIS_OFFENDER_ID,ETHNICITY_CODE,WORKING_NAME,SOI_IDENTITY_ID,SOI_OFFENDER_ID
"A1464AE","1980/10/10","KUMAR","","","DHUMKE","","M","","BRIT","CRO1234^CRO2324","OUT","1056907","","N","4a39e889-7b2b-817c-e050-16ac01107c5c","4a39e889-7b29-817c-e050-16ac01107c5c"
"A1465AE","1982/03/02","DEL","","","CESI","","M","","","","LEI","1056868","","N","4a39e889-7b2d-817c-e050-16ac01107c5c","4a39e889-7b2c-817c-e050-16ac01107c5c"
"A1465AE","1992/02/01","DI LANDA","","","CESIDIO","","M","","","","LEI","1056867","","Y","4a39e889-7b2e-817c-e050-16ac01107c5c","4a39e889-7b2c-817c-e050-16ac01107c5c"
"A1466AE","1970/10/10","JAGS","","","PARBHA","","M","","","","LEI","1056887","","Y","4a39e889-7b30-817c-e050-16ac01107c5c","4a39e889-7b2f-817c-e050-16ac01107c5c"
"A1467AE","1982/10/10","SOPHIE","","","OSMAN","","F","","","","","1056947","","N","4a39e889-7b32-817c-e050-16ac01107c5c","4a39e889-7b31-817c-e050-16ac01107c5c"
"A1468AE","1970/10/10","TONY","","","BLAIR","","M","","","","","1056948","","N","4a39e889-7b34-817c-e050-16ac01107c5c","4a39e889-7b33-817c-e050-16ac01107c5c"
"A1469AE","1980/10/10","JEREMY","","","STEPHENS","","M","","","","","1056967","","N","4a39e889-7b36-817c-e050-16ac01107c5c","4a39e889-7b35-817c-e050-16ac01107c5c"
"A1470AE","1987/10/10","JOHN","","","STEPHENS","","M","","","","","1056968","","N","4a39e889-7b38-817c-e050-16ac01107c5c","4a39e889-7b37-817c-e050-16ac01107c5c"
"A1471AE","1983/10/10","GERRY","","","STEPHENS","","M","","","","","1056969","","N","4a39e889-7b3a-817c-e050-16ac01107c5c","4a39e889-7b39-817c-e050-16ac01107c5c"
"A1476AE","1980/10/10","JOHN","","","TAYLOR","","M","","","","","1056991","","N","4a39e889-7b3c-817c-e050-16ac01107c5c","4a39e889-7b3b-817c-e050-16ac01107c5c"
"A1485AE","1980/10/10","JOSEPH","","","PAUL","","M","","","","","1057012","","N","4a39e889-7b3e-817c-e050-16ac01107c5c","4a39e889-7b3d-817c-e050-16ac01107c5c"
"A1486AE","1980/10/10","GAUTAM","","","PAUL","","M","","","","","1057013","","N","4a39e889-7b40-817c-e050-16ac01107c5c","4a39e889-7b3f-817c-e050-16ac01107c5c"
"A1486AE","1980/10/10","GAUTI","","","PAUL","","M","","","","","1057014","","N","4a39e889-7b41-817c-e050-16ac01107c5c","4a39e889-7b3f-817c-e050-16ac01107c5c"
"A1486AE","1980/10/10","GO","","","PAUL","","M","","","","","1057015","","N","4a39e889-7b42-817c-e050-16ac01107c5c","4a39e889-7b3f-817c-e050-16ac01107c5c"
"A1487AE","1980/10/10","GAUTAM","","","PATIL","","M","","","","","1057016","","N","4a39e889-7b44-817c-e050-16ac01107c5c","4a39e889-7b43-817c-e050-16ac01107c5c"
"A1487AE","1980/10/10","GAUTI","","","PATIL","","M","","","","","1057017","","N","4a39e889-7b45-817c-e050-16ac01107c5c","4a39e889-7b43-817c-e050-16ac01107c5c"
"A1487AE","1980/10/10","GO","","","PATIL","","M","","","","","1057018","","N","4a39e889-7b46-817c-e050-16ac01107c5c","4a39e889-7b43-817c-e050-16ac01107c5c"
"A1488AE","1980/10/10","JAMES","","","VINCE","","M","","","","","1057027","","N","4a39e889-7b48-817c-e050-16ac01107c5c","4a39e889-7b47-817c-e050-16ac01107c5c"
"A1490AE","1980/10/10","TOD","","","MARTIN","","M","","","","","1057048","","N","4a39e889-7b4a-817c-e050-16ac01107c5c","4a39e889-7b49-817c-e050-16ac01107c5c"
"A1493AE","1980/10/10","JOE","","","SILVER","","M","","","","","1057051","","N","4a39e889-7b4c-817c-e050-16ac01107c5c","4a39e889-7b4b-817c-e050-16ac01107c5c"
"A1495AE","1982/10/10","JOE","","","SILVER","","M","","","","","1057053","","N","4a39e889-7b4e-817c-e050-16ac01107c5c","4a39e889-7b4d-817c-e050-16ac01107c5c"
"A1496AE","1982/09/09","JOE","","","SILVER","","M","","","","","1057054","","N","4a39e889-7b50-817c-e050-16ac01107c5c","4a39e889-7b4f-817c-e050-16ac01107c5c"
"A1497AE","1967/08/08","JOE","","","SILVER","","M","","","","","1057055","","N","4a39e889-7b52-817c-e050-16ac01107c5c","4a39e889-7b51-817c-e050-16ac01107c5c"
"A1498AE","1980/08/07","JOE","","","SILVER","","M","","","","","1057056","","N","4a39e889-7b54-817c-e050-16ac01107c5c","4a39e889-7b53-817c-e050-16ac01107c5c"
"A1502AE","1980/10/10","JOE","","","SILVER","","M","","","","","1057060","","N","4a39e889-7b56-817c-e050-16ac01107c5c","4a39e889-7b55-817c-e050-16ac01107c5c"
"A1503AE","1982/10/10","JOE","","","GOLD","","M","","","","","1057061","","N","4a39e889-7b58-817c-e050-16ac01107c5c","4a39e889-7b57-817c-e050-16ac01107c5c"
"A1504AE","1980/10/10","JOE","","","MARTIN","","M","","","","","1057062","","N","4a39e889-7b5a-817c-e050-16ac01107c5c","4a39e889-7b59-817c-e050-16ac01107c5c"
"A1506AE","1982/10/10","BEN","","","MARTIN","","M","","","","","1057064","","N","4a39e889-7b5c-817c-e050-16ac01107c5c","4a39e889-7b5b-817c-e050-16ac01107c5c"
"A1509AE","1983/10/10","NICK","","","MARTIN","","M","","","","","1057069","","N","4a39e889-7b5e-817c-e050-16ac01107c5c","4a39e889-7b5d-817c-e050-16ac01107c5c"
"A1521AE","1980/10/10","TOM","","","BARLOW","","M","","","","","1057090","","N","4a39e889-7b60-817c-e050-16ac01107c5c","4a39e889-7b5f-817c-e050-16ac01107c5c"
"A1522AE","1980/10/10","MARK","","","OSMAN","","M","","","","","1057107","","N","4a39e889-7b62-817c-e050-16ac01107c5c","4a39e889-7b61-817c-e050-16ac01107c5c"
"A1523AE","1980/10/10","SUNIL","","","GHADI","","M","","","123456","LEI","1057127","","Y","4a39e889-7b64-817c-e050-16ac01107c5c","4a39e889-7b63-817c-e050-16ac01107c5c"
"A1523AE","1989/11/09","SUNNY","","","GHADI","","M","","","5555555","LEI","1058207","","N","4a39e889-7b65-817c-e050-16ac01107c5c","4a39e889-7b63-817c-e050-16ac01107c5c"
"A1524AE","1980/10/10","RAM","","","GHADI","","M","","","","","1057147","","N","4a39e889-7b67-817c-e050-16ac01107c5c","4a39e889-7b66-817c-e050-16ac01107c5c"
"A1527AE","1980/10/10","MAHENDRA","","","DHONI","","M","","","","","1057188","","N","4a39e889-7b69-817c-e050-16ac01107c5c","4a39e889-7b68-817c-e050-16ac01107c5c"
"A1528AE","1984/10/10","MAHENDRA","","","DHONI","","M","","","","","1057189","","N","4a39e889-7b6b-817c-e050-16ac01107c5c","4a39e889-7b6a-817c-e050-16ac01107c5c"
"A1529AE","1980/10/10","BEN","","","MORRIS","","M","","","","","1057207","","N","4a39e889-7b6d-817c-e050-16ac01107c5c","4a39e889-7b6c-817c-e050-16ac01107c5c"
"A1530AE","1980/01/01","TEST1","","","SOI","","M","","","","","1057227","","N","4a39e889-7b6f-817c-e050-16ac01107c5c","4a39e889-7b6e-817c-e050-16ac01107c5c"
"A1531AE","1967/03/12","JOE","","","SMITH","","M","","","","","1057247","","N","4a39e889-7b71-817c-e050-16ac01107c5c","4a39e889-7b70-817c-e050-16ac01107c5c"
"A1532AE","1967/05/03","JIM","","","SMITH","","M","","","","","1057248","","N","4a39e889-7b73-817c-e050-16ac01107c5c","4a39e889-7b72-817c-e050-16ac01107c5c"
"A1533AE","1975/09/21","ANTHONY","","","RAM RAHIM","","M","","","","","1057267","","N","4a39e889-7b75-817c-e050-16ac01107c5c","4a39e889-7b74-817c-e050-16ac01107c5c"
"A1534AE","1980/10/10","FAS","","","HUSSAIN","","M","","","","","1057288","","N","4a39e889-7b77-817c-e050-16ac01107c5c","4a39e889-7b76-817c-e050-16ac01107c5c"
"A1534AE","1980/10/10","FASI","","","HUSSAIN","","M","","","","","1057287","","N","4a39e889-7b78-817c-e050-16ac01107c5c","4a39e889-7b76-817c-e050-16ac01107c5c"
"A1535AE","1980/10/10","CHHRISSS","","","COOK","","M","","","","","1057291","","N","4a39e889-7b7a-817c-e050-16ac01107c5c","4a39e889-7b79-817c-e050-16ac01107c5c"
"A1535AE","1980/10/10","CHRIS","","","COOK","","M","","","","","1057289","","N","4a39e889-7b7b-817c-e050-16ac01107c5c","4a39e889-7b79-817c-e050-16ac01107c5c"
"A1535AE","1980/10/10","CHRIST","","","COOK","","M","","","","","1057292","","N","4a39e889-7b7c-817c-e050-16ac01107c5c","4a39e889-7b79-817c-e050-16ac01107c5c"
"A1535AE","1980/10/10","CHRISTOPHER","","","COOK","","M","","","","","1057290","","N","4a39e889-7b7d-817c-e050-16ac01107c5c","4a39e889-7b79-817c-e050-16ac01107c5c"
"A1538AE","1980/10/10","BEN","","","STOKES","","M","","","","","1057295","","N","4a39e889-7b7f-817c-e050-16ac01107c5c","4a39e889-7b7e-817c-e050-16ac01107c5c"
"A1538AE","1980/10/10","BENTEKE","","","STOKES","","M","","","","","1057296","","N","4a39e889-7b80-817c-e050-16ac01107c5c","4a39e889-7b7e-817c-e050-16ac01107c5c"
"A1539AE","1980/10/10","CHRIS","","","WOAKES","","M","","","","","1057297","","N","4a39e889-7b82-817c-e050-16ac01107c5c","4a39e889-7b81-817c-e050-16ac01107c5c"
"A1539AE","1980/10/10","CHRIST","","","WOAKES","","M","","","","","1057298","","N","4a39e889-7b83-817c-e050-16ac01107c5c","4a39e889-7b81-817c-e050-16ac01107c5c"
"A1539AE","1981/10/10","CHRISTOPHER","","","WOAKES","","M","","","","","1057299","","N","4a39e889-7b84-817c-e050-16ac01107c5c","4a39e889-7b81-817c-e050-16ac01107c5c"
"A1540AE","1980/10/10","MOEEN","","","ALI","","M","","","","","1057307","","N","4a39e889-7b86-817c-e050-16ac01107c5c","4a39e889-7b85-817c-e050-16ac01107c5c"
"A1541AE","1983/10/10","M","","","ALI","","M","","","COR49WDD","LEI","1057328","","N","4a39e889-7b88-817c-e050-16ac01107c5c","4a39e889-7b87-817c-e050-16ac01107c5c"
"A1541AE","1982/10/10","MO","","","ALI","","M","","","CRO232WRW","LEI","1057311","","N","4a39e889-7b89-817c-e050-16ac01107c5c","4a39e889-7b87-817c-e050-16ac01107c5c"
"A1541AE","1980/10/10","MOEEN","","","ALI","","M","","","","LEI","1057310","A2","Y","4a39e889-7b8a-817c-e050-16ac01107c5c","4a39e889-7b87-817c-e050-16ac01107c5c"
"A1542AE","1983/10/10","MAR","","","WOODS","","M","","","CRO23JREIWF","","1057347","","N","4a39e889-7b8c-817c-e050-16ac01107c5c","4a39e889-7b8b-817c-e050-16ac01107c5c"
"A1542AE","1983/10/10","MARK","","","WOODS","","M","","","","","1057329","","N","4a39e889-7b8d-817c-e050-16ac01107c5c","4a39e889-7b8b-817c-e050-16ac01107c5c"
"A1543AE","1980/10/10","BO","","","JOVI","","M","","","CRO8394R","","1057368","","N","4a39e889-7b8f-817c-e050-16ac01107c5c","4a39e889-7b8e-817c-e050-16ac01107c5c"
"A1543AE","1980/10/10","BON","","","JOVI","","M","","","","","1057367","","N","4a39e889-7b90-817c-e050-16ac01107c5c","4a39e889-7b8e-817c-e050-16ac01107c5c"
"A1548AE","1980/10/10","TER","","","HUNT","","M","","","CRO22031","","1057374","","N","4a39e889-7b92-817c-e050-16ac01107c5c","4a39e889-7b91-817c-e050-16ac01107c5c"
"A1548AE","1980/10/10","TERRY","","","HUNT","","M","","","","","1057373","","N","4a39e889-7b93-817c-e050-16ac01107c5c","4a39e889-7b91-817c-e050-16ac01107c5c"
"A1551AE","1980/10/10","JER","","","HUNT","","M","","","","","1057378","","N","4a39e889-7b95-817c-e050-16ac01107c5c","4a39e889-7b94-817c-e050-16ac01107c5c"
"A1551AE","1980/10/10","JEREMY","","","HUNT","","M","","","","","1057377","","N","4a39e889-7b96-817c-e050-16ac01107c5c","4a39e889-7b94-817c-e050-16ac01107c5c"
"A1554AE","1980/10/10","MICHAEL","","","GOVE","","M","","","","","1057381","","N","4a39e889-7b98-817c-e050-16ac01107c5c","4a39e889-7b97-817c-e050-16ac01107c5c"
"A1554AE","1980/10/10","MIKE","","","GOVE","","M","","","","","1057382","","N","4a39e889-7b99-817c-e050-16ac01107c5c","4a39e889-7b97-817c-e050-16ac01107c5c"
"A1557AE","1980/10/10","MICHAEL","","","GOVE","","M","","","","","1057385","","N","4a39e889-7b9b-817c-e050-16ac01107c5c","4a39e889-7b9a-817c-e050-16ac01107c5c"
"A1557AE","1981/10/10","MIKE","","","GOVE","","M","","","CRO232JWE","","1057386","","N","4a39e889-7b9c-817c-e050-16ac01107c5c","4a39e889-7b9a-817c-e050-16ac01107c5c"
"A1560AE","1980/10/10","AJINKYA","","","RAHANE","","M","","","","","1057389","","N","4a39e889-7b9e-817c-e050-16ac01107c5c","4a39e889-7b9d-817c-e050-16ac01107c5c"
"A1560AE","1980/10/10","JINKS","","","RAHANE","","M","","","CRO232232M","","1057390","","N","4a39e889-7b9f-817c-e050-16ac01107c5c","4a39e889-7b9d-817c-e050-16ac01107c5c"
"A1561AE","1980/10/10","RICHARD","","","STUBBS","","M","","","","","1057407","","N","4a39e889-7ba1-817c-e050-16ac01107c5c","4a39e889-7ba0-817c-e050-16ac01107c5c"
"A1561AE","1980/10/10","RICHIE","","","STUBBS","","M","","","","","1057408","","N","4a39e889-7ba2-817c-e050-16ac01107c5c","4a39e889-7ba0-817c-e050-16ac01107c5c"
